,horse_id,sex,age,date,dateforda,track,weather,race_num,horse_num_anim,horse_num,odds,popularity,order,order_complex,jockey,weight,dirt_grass,distance,condition,time,3furlong,horse_weight,weight_incdec,same_track,g1_age3,g2_age3,g3_age3,g1_age4,g2_age4,g3_age4,money
11,2015104879,3,4,2019/06/26,6877,44,6,11.0,14,1,3.1,2.0,0,1,1088,57.0,2,2000,2,124.6,37.7,470,-12,1,0,0,0,1,0,0,2100.0
12,2015104879,3,4,2019/05/18,6838,8,5,11.0,16,7,2.5,1.0,1,1,1088,58.0,2,1900,4,118.1,36.5,482,7,0,0,0,0,0,0,1,3657.4
13,2015104879,3,4,2019/03/13,6771,43,5,11.0,13,1,1.4,1.0,1,1,1088,55.0,2,2400,2,157.3,37.9,475,-5,0,0,0,0,0,1,0,3200.0
14,2015104879,3,4,2019/01/20,6716,7,5,11.0,13,3,4.8,2.0,0,1,1088,56.0,2,1800,4,110.1,35.8,480,3,0,0,0,0,0,1,0,2228.4
15,2015104879,3,3,2018/12/24,6689,48,6,11.0,9,8,2.9,2.0,1,1,1088,54.0,2,2500,3,160.7,37.4,477,1,0,0,0,0,0,1,0,3100.0
14,2015104273,3,4,2019/06/26,6877,44,6,11.0,14,5,3.4,3.0,1,1,5585,57.0,2,2000,2,124.4,36.7,448,-14,1,0,0,0,1,0,0,6000.0
15,2015104273,3,4,2019/05/18,6838,8,5,11.0,16,1,6.7,3.0,0,1,5212,59.0,2,1900,4,118.3,36.9,462,12,0,0,0,0,0,0,1,908.2
16,2015104273,3,4,2019/02/17,6744,5,6,11.0,14,14,6.2,3.0,0,0,5212,57.0,2,1600,4,97.3,36.4,450,2,0,0,0,0,1,0,0,0.0
17,2015104273,3,3,2018/12/29,6694,44,6,10.0,16,5,3.7,3.0,1,1,5212,55.0,2,2000,4,125.9,38.5,448,-4,1,0,0,0,1,0,0,8000.0
18,2015104273,3,3,2018/12/02,6667,7,6,11.0,15,11,9.2,4.0,0,0,5473,56.0,2,1800,4,111.1,36.0,452,-2,0,0,0,0,1,0,0,1000.0
13,2012104019,3,7,2019/10/09,6984,42,6,11.0,11,11,1.2,1.0,0,1,5342,58.0,2,1900,4,120.7,37.8,543,7,0,0,0,0,0,0,0,420.0
14,2012104019,3,7,2019/09/18,6962,44,3,11.0,15,10,2.7,1.0,0,1,5380,56.0,2,2400,1,156.5,40.2,536,8,1,0,0,0,0,0,0,1120.0
15,2012104019,3,7,2019/08/22,6935,45,5,11.0,14,11,2.2,1.0,0,0,5380,58.0,2,1600,4,101.7,38.7,528,-7,0,0,0,0,0,0,0,70.0
16,2012104019,3,7,2019/07/23,6905,45,5,11.0,8,3,1.3,1.0,0,1,5199,57.0,2,2000,3,132.4,37.2,535,-2,0,0,0,0,0,0,0,200.0
17,2012104019,3,7,2019/05/22,6842,44,6,11.0,16,8,2.9,2.0,0,1,5199,57.0,2,2000,2,125.7,39.2,537,-9,1,0,0,0,0,0,0,1120.0
19,2013104246,3,6,2019/10/12,6987,8,3,11.0,16,9,15.5,8.0,0,0,1014,57.0,2,1800,1,110.0,37.1,484,14,0,0,0,0,0,0,0,0.0
20,2013104246,3,6,2019/04/20,6809,5,6,11.0,16,15,3.5,1.0,0,0,700,57.0,2,1600,4,98.5,37.0,470,-6,0,0,0,0,0,0,0,0.0
21,2013104246,3,6,2019/02/17,6744,5,6,11.0,14,1,61.3,10.0,0,0,700,57.0,2,1600,4,97.4,36.2,476,0,0,0,0,0,1,0,0,0.0
