,horse_id,sex,age,date,track,weather,race_num,horse_num_anim,horse_num,odds,popularity,order,jockey,weight,dirt_grass,distance,condition,time,3furlong,horse_weight,weight_incdec,same_track,g1_age3,g2_age3,g3_age3,g1_age4,g2_age4,g3_age4,money
10,2012101502,3,6,2018/12/24,48,6,11.0,9,1,6.3,3.0,0,1014,56.0,2,2500,3,160.8,37.6,478,2,0,0,0,0,0,1,1,775.0
11,2012101502,3,6,2018/12/02,7,6,11.0,15,13,139.5,12.0,0,1126,57.0,2,1800,4,111.2,36.3,476,4,0,0,0,0,1,0,0,0.0
17,2015105676,3,4,2019/06/26,44,6,11.0,14,3,27.1,4.0,0,5269,57.0,2,2000,2,125.5,38.6,513,5,1,0,0,0,1,0,0,300.0
18,2015105676,3,4,2019/05/22,44,6,11.0,16,5,8.5,4.0,1,5269,57.0,2,2000,2,125.0,38.1,508,4,1,0,0,0,0,0,0,3200.0
19,2015105676,3,3,2018/12/29,44,6,10.0,16,4,47.5,7.0,0,5269,55.0,2,2000,4,128.1,40.9,504,3,1,0,0,0,1,0,0,0.0
20,2015105676,3,3,2018/12/05,44,5,11.0,15,7,4.8,3.0,1,5269,53.0,2,1800,4,113.7,38.1,501,-4,1,0,0,0,0,0,0,2200.0
21,2015105676,3,3,2018/10/30,44,6,11.0,11,10,1.7,1.0,1,5269,56.0,2,2000,4,129.2,38.1,505,14,1,0,0,0,0,0,0,650.0
13,2014104052,3,5,2019/06/26,44,6,11.0,14,11,2.0,1.0,0,666,57.0,2,2000,2,125.5,38.9,516,-2,1,0,0,0,1,0,0,0.0
14,2014104052,3,5,2019/05/06,43,6,11.0,11,6,1.6,1.0,0,666,57.0,2,1600,3,100.4,38.2,518,4,0,0,0,0,1,0,0,2100.0
15,2014104052,3,5,2019/02/17,5,6,11.0,14,6,2.6,1.0,1,666,57.0,2,1600,4,95.6,35.4,514,0,0,0,0,0,1,0,0,10310.8
16,2014104052,3,5,2019/01/20,7,5,11.0,13,4,1.5,1.0,1,666,56.0,2,1800,4,109.8,35.9,514,-2,0,0,0,0,0,1,1,5599.4
17,2014104052,3,4,2018/11/10,8,6,10.0,9,6,1.1,1.0,1,666,57.0,2,1800,3,109.4,35.9,516,-4,0,0,0,0,0,0,0,1839.6
11,2010102446,2,9,2019/06/26,44,6,11.0,14,6,162.3,11.0,0,5342,57.0,2,2000,2,126.1,38.1,471,-13,1,0,0,0,1,0,0,0.0
12,2010102446,2,9,2019/05/22,44,6,11.0,16,14,7.5,3.0,0,5299,57.0,2,2000,2,128.9,41.4,484,1,1,0,0,0,0,0,0,0.0
13,2010102446,2,9,2019/04/09,44,6,11.0,16,10,2.0,1.0,0,5404,58.0,2,1800,4,115.2,37.8,483,-3,1,0,0,0,0,0,0,0.0
14,2010102446,2,9,2019/03/13,43,5,11.0,13,4,9.3,4.0,0,5404,56.0,2,2400,2,158.8,39.0,486,4,0,0,0,0,0,1,1,160.0
15,2010102446,2,9,2019/02/06,44,5,11.0,15,7,1.6,1.0,1,5404,56.0,2,2600,2,169.8,40.0,482,4,1,0,0,0,0,0,0,2200.0
30,2011101738,2,8,2019/06/26,44,6,11.0,14,8,385.4,12.0,0,5380,57.0,2,2000,2,126.2,39.0,498,-5,1,0,0,0,1,0,0,0.0
31,2011101738,2,8,2019/05/22,44,6,11.0,16,10,15.9,6.0,0,5380,57.0,2,2000,2,127.5,40.5,503,2,1,0,0,0,0,0,0,0.0
32,2011101738,2,7,2018/12/05,44,5,11.0,15,9,3.3,2.0,0,5380,58.0,2,1800,4,115.2,39.7,501,0,1,0,0,0,0,0,0,110.0
33,2011101738,2,7,2018/10/31,44,6,11.0,16,15,2.3,1.0,0,5380,58.0,2,1600,4,101.1,40.0,501,15,1,0,0,0,0,0,0,250.0
34,2011101738,2,7,2018/08/12,1,5,11.0,14,1,5.9,4.0,0,5339,56.0,2,1700,2,103.1,37.2,486,-10,0,0,0,0,0,0,0,0.0
8,2012104367,3,7,2019/06/26,44,6,11.0,14,7,95.6,9.0,0,1075,57.0,2,2000,2,126.3,39.0,486,-2,1,0,0,0,1,0,0,0.0
9,2012104367,3,7,2019/05/06,43,6,11.0,11,9,44.2,4.0,0,1075,57.0,2,1600,3,101.1,38.8,488,1,0,0,0,0,1,0,0,600.0
10,2012104367,3,7,2019/03/13,43,5,11.0,13,6,8.3,3.0,0,1075,56.0,2,2400,2,158.2,39.0,487,-9,0,0,0,0,0,1,1,640.0
11,2012104367,3,7,2019/01/30,45,6,11.0,11,8,5.6,2.0,0,1075,57.0,2,2100,4,135.5,40.1,496,2,0,0,0,0,1,0,0,1200.0
12,2012104367,3,6,2018/11/23,42,6,10.0,11,6,16.4,4.0,1,1075,58.0,2,2000,4,125.4,36.9,494,-4,0,0,0,0,0,1,1,3500.0
29,2013104755,3,6,2019/06/26,44,6,11.0,14,12,563.6,14.0,0,5590,57.0,2,2000,2,126.5,39.0,488,-3,1,0,0,0,1,0,0,0.0
30,2013104755,3,6,2019/05/22,44,6,11.0,16,7,149.1,12.0,0,5524,57.0,2,2000,2,128.2,40.5,491,6,1,0,0,0,0,0,0,0.0
31,2013104755,3,6,2019/04/09,44,6,11.0,16,3,163.8,13.0,0,5524,57.0,2,1800,4,115.3,38.4,485,-1,1,0,0,0,0,0,0,0.0
32,2013104755,3,5,2018/09/19,44,6,11.0,16,14,10.2,6.0,0,5524,56.0,2,2400,1,161.1,44.1,486,-4,1,0,0,0,0,0,0,0.0
33,2013104755,3,5,2018/08/14,44,6,8.0,9,4,3.4,1.0,0,5524,57.0,2,2400,3,157.6,39.5,490,-2,1,0,0,0,0,0,0,152.5
5,2014104469,3,5,2019/06/26,44,6,11.0,14,9,42.9,6.0,0,5492,57.0,2,2000,2,126.6,39.8,488,-8,1,0,0,0,1,0,0,0.0
6,2014104469,3,5,2019/05/21,30,5,12.0,6,5,1.0,1.0,1,5492,57.0,2,2000,1,124.1,38.0,496,-2,0,0,0,0,0,0,0,300.0
7,2014104469,3,5,2019/04/23,30,5,10.0,7,4,1.1,1.0,1,5492,57.0,2,1800,4,115.7,40.7,498,-4,0,0,0,0,0,0,0,300.0
8,2014104469,3,4,2018/12/29,44,6,10.0,16,3,60.7,9.0,0,5492,57.0,2,2000,4,126.7,40.4,502,12,1,0,0,0,1,0,0,0.0
9,2014104469,3,4,2018/11/15,30,5,12.0,11,3,1.3,1.0,1,5492,56.0,2,2000,3,125.3,39.1,490,4,0,0,0,0,0,0,0,1500.0
29,2013104508,3,6,2019/06/26,44,6,11.0,14,4,155.5,10.0,0,409,57.0,2,2000,2,127.0,39.0,558,-21,1,0,0,0,1,0,0,0.0
30,2013104508,3,6,2019/05/12,55,6,11.0,11,2,1.1,1.0,1,409,56.0,2,1800,4,114.7,36.7,579,11,0,0,0,0,0,0,0,250.0
31,2013104508,3,6,2019/04/25,47,6,10.0,10,1,1.6,1.0,0,409,56.0,2,2500,2,165.1,37.9,568,-7,0,0,0,0,0,0,0,45.0
32,2013104508,3,6,2019/02/11,55,5,8.0,11,10,3.7,2.0,0,409,57.0,2,2000,2,127.6,39.2,575,4,0,0,0,0,0,0,0,138.0
33,2013104508,3,6,2019/01/06,55,6,11.0,9,7,1.1,1.0,1,409,56.0,2,2000,4,128.2,38.4,571,0,0,0,0,0,0,0,0,100.0
1,2012110098,3,7,2019/06/26,44,6,11.0,14,2,48.2,7.0,0,5386,57.0,2,2000,2,128.5,40.8,578,15,1,0,0,0,1,0,0,0.0
2,2012110098,3,7,2019/05/06,43,6,11.0,11,7,54.7,7.0,0,5386,57.0,2,1600,3,100.8,37.6,563,-1,0,0,0,0,1,0,0,1200.0
3,2012110098,3,7,2019/03/13,43,5,11.0,13,9,10.8,5.0,0,5386,56.0,2,2400,2,158.1,38.5,564,-8,0,0,0,0,0,1,1,1120.0
4,2012110098,3,7,2019/01/30,45,6,11.0,11,5,18.0,4.0,0,5386,57.0,2,2100,4,135.8,39.9,572,-2,0,0,0,0,1,0,0,600.0
5,2012110098,3,6,2018/12/29,44,6,10.0,16,16,59.0,8.0,0,5575,57.0,2,2000,4,128.4,42.0,574,0,1,0,0,0,1,0,0,0.0
8,2011104326,3,8,2019/06/26,44,6,11.0,14,13,532.9,13.0,0,655943,57.0,2,2000,2,128.7,42.3,476,-3,1,0,0,0,1,0,0,0.0
9,2011104326,3,8,2019/05/22,44,6,11.0,16,15,183.7,13.0,0,655943,57.0,2,2000,2,127.2,40.9,479,-4,1,0,0,0,0,0,0,320.0
10,2011104326,3,8,2019/04/09,44,6,11.0,16,13,59.6,10.0,0,5171,58.0,2,1800,4,116.3,39.7,483,2,1,0,0,0,0,0,0,0.0
11,2011104326,3,8,2019/02/20,43,5,11.0,14,7,6.9,4.0,0,817,56.5,2,1800,3,114.6,40.2,481,-2,0,0,0,0,0,0,0,0.0
12,2011104326,3,8,2019/02/06,44,5,11.0,15,10,11.0,4.0,0,817,57.0,2,2600,2,169.9,41.0,483,7,1,0,0,0,0,0,0,770.0
