,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,7,7,カフェブリッツ,牡4,55,北村友一,2:04.1,,4.3,3.0,540(+4),[西] 池江泰寿
1,2,6,6,タガノゴールド,牡6,55,丸山元気,2:04.1,クビ,21.2,8.0,472(-4),[西] 川村禎彦
2,3,5,5,ウインユニファイド,牡5,55,Ｍ．デム,2:04.2,クビ,3.4,1.0,518(-2),[西] 飯田雄三
3,4,4,4,サージェントバッジ,牡5,57,福永祐一,2:04.2,ハナ,3.7,2.0,496(-4),[西] 須貝尚介
4,5,3,3,シャイニービーム,牡5,55,高倉稜,2:04.8,3.1/2,9.6,5.0,452(+8),[西] 福島信晴
5,6,1,1,コパノチャーリー,牡5,54,幸英明,2:05.2,2.1/2,14.5,6.0,518(-8),[西] 村山明
6,7,8,10,ビービートレイター,牡7,56,浜中俊,2:05.4,1.1/4,44.9,9.0,512(+4),[西] 吉村圭司
7,8,2,2,アドマイヤシャイ,牝5,53,藤岡康太,2:05.5,クビ,18.5,7.0,448(-2),[西] 梅田智之
8,9,8,9,コンセギール,牡5,55,和田竜二,2:05.7,1.1/2,5.9,4.0,510(-4),[西] 浜田多実
9,除,7,8,スマートボムシェル,牡5,53,松若風馬,,,---,,498(0),[西] 吉田直弘
