,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,2,2,アクシオン,牡3,54,藤田伸二,1:47.9,,1.6,1,530(+4),[東] 二ノ宮敬
1,2,5,6,タニノボルガ,牡6,57,四位洋文,1:48.4,3,12.1,4,484(0),[西] 長浜博之
2,3,3,3,ラピッドオレンジ,牝3,52,菊沢隆徳,1:48.4,クビ,7.5,3,454(0),[西] 藤原英昭
3,4,4,4,ケイエスジェネラス,牝5,55,小林徹弥,1:48.6,1.1/2,78.1,10,458(+8),[西] 高橋成忠
4,5,1,1,ヒカルウェイブ,牝5,55,川島信二,1:48.6,ハナ,79.3,11,466(+4),[西] 中尾秀正
5,6,6,8,マルブツシルヴァー,牡4,57,芹沢純一,1:48.7,クビ,13.4,5,526(-8),[西] 加用正
6,7,7,9,マイネルバシリコス,牡3,54,松田大作,1:49.0,1.3/4,16.9,6,474(0),[西] 加用正
7,8,8,12,マチカネエンジイロ,牝5,55,塚田祥雄,1:49.2,1,43.4,8,428(0),[東] 藤沢和雄
8,9,7,10,ロケットパンチ,牡6,57,的場勇人,1:49.2,ハナ,123.2,12,466(0),[東] 的場均
9,10,8,11,ストロングドン,牡6,57,小原義之,1:49.2,クビ,41.9,7,520(-2),[西] 小原伊佐
10,11,5,5,タガノボーディング,牡3,54,柴山雄一,1:49.3,クビ,6.2,2,498(+4),[西] 松田博資
11,12,6,7,エリモファイナル,牝4,55,柴原央明,1:49.5,1.1/4,60.4,9,474(+14),[西] 北出成人
