,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,6,7,ゴールドネオ,牡4,57,後藤浩輝,1:09.3,,9.9,5,490(0),[西] 領家政蔵
1,2,2,2,レンデフルール,牝4,55,太宰啓介,1:09.3,ハナ,4.1,2,446(+2),[西] 音無秀孝
2,3,8,12,アナナス,牡5,57,吉田隼人,1:09.3,クビ,7.1,4,458(-10),[東] 佐藤吉勝
3,4,6,8,モンルージュ,牝4,55,赤木高太,1:09.4,クビ,14.6,6,450(+6),[西] 湯窪幸雄
4,5,5,6,ヤマカツシリウス,牡4,57,松田大作,1:09.4,クビ,15.5,8,534(+4),[西] 池添兼雄
5,6,3,3,レイザーバック,牡6,57,中村将之,1:09.5,1/2,6.1,3,494(+4),[西] 北出成人
6,7,8,11,ケイエスショーキ,牡4,57,熊沢重文,1:09.7,1.1/4,25.2,10,510(-4),[西] 高橋成忠
7,8,4,4,シャドウストリーム,牝5,55,中舘英二,1:09.9,1.1/2,14.7,7,446(-12),[西] 森秀行
8,9,5,5,マルターズクラシカ,牝4,55,木幡初広,1:10.0,クビ,65.2,11,472(+2),[東] 堀井雅広
9,10,1,1,パスタイム,牝4,55,西田雄一,1:10.0,ハナ,21.5,9,470(-6),[東] 岩戸孝樹
10,11,7,10,デスコベルタ,牝4,55,北村友一,1:10.2,1.1/4,3.4,1,482(-2),[東] 和田正道
11,12,7,9,ナモンウェイ,牝5,55,安藤光彰,1:11.7,9,125.6,12,464(-2),[東] 粕谷昌央
