,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,4,6,トーアヘンリー,牡3,54,大野拓弥,2:43.4,,5.8,2,478(-2),[東] 藤原辰雄
1,2,7,12,エナージバイオ,牡3,51,丸田恭介,2:43.6,1.1/4,8.0,4,468(-2),[西] 梅田智之
2,3,8,13,ドリームシーカー,セ6,57,津村明秀,2:43.8,1.1/4,21.6,7,464(+12),[東] 武市康男
3,4,5,8,ユメキコウ,牝5,55,松田大作,2:43.8,アタマ,49.3,10,434(0),[西] 西浦勝一
4,5,2,2,アグネスボンバー,牡3,53,的場勇人,2:43.9,1/2,49.2,9,490(+2),[東] 的場均
5,6,4,5,キャッスルトン,牝4,55,柴田善臣,2:44.1,1.1/4,20.0,6,444(+2),[東] 鹿戸雄一
6,7,1,1,コスモスプラッシュ,牝3,52,藤田伸二,2:44.1,アタマ,8.6,5,420(-2),[東] 谷原義明
7,8,5,7,メルシーゴールド,牡4,56,三浦皇成,2:44.1,アタマ,2.0,1,510(+2),[東] 小島茂之
8,9,6,9,ニシノバニーガール,牝5,55,田辺裕信,2:44.5,2.1/2,72.3,12,458(+8),[東] 上原博之
9,10,8,14,マイネソシオ,牝3,52,五十嵐冬,2:44.5,アタマ,7.9,3,420(+4),[西] 岡田稲男
10,11,7,11,ルミノゴールド,牡4,57,古川吉洋,2:45.3,5,36.5,8,470(-2),[東] 松山将樹
11,12,6,10,ヒドゥンアジェンダ,牡4,57,菊沢隆徳,2:45.8,3,56.1,11,464(0),[東] 武市康男
12,13,3,4,ロイバーブリング,牡5,56,田中博康,2:46.2,2.1/2,102.7,13,484(+4),[東] 伊藤伸一
13,14,3,3,アラマサトップガン,牝3,52,山口竜一,2:49.8,大,157.4,14,432(-2),[東] 阿部新生
