,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,2,4,アドマイヤムーン,牡4,57,岩田康誠,2:24.7,,10.9,5,480(+8),[西] 松田博資
1,2,1,2,ポップロック,牡6,57,ペリエ,2:24.7,アタマ,10.5,4,502(+6),[西] 角居勝彦
2,3,5,10,メイショウサムソン,牡4,57,武豊,2:24.7,クビ,1.8,1,518(0),[西] 高橋成忠
3,4,6,11,ウオッカ,牝3,53,四位洋文,2:24.9,1,6.1,2,488(-4),[西] 角居勝彦
4,5,8,18,デルタブルース,牡6,57,川田将雅,2:25.1,1.1/4,147.2,14,526(+2),[西] 角居勝彦
5,6,3,5,チョウサン,牡5,57,横山典弘,2:25.2,クビ,63.0,10,494(-2),[東] 清水利章
6,7,4,7,ペイパルブル,牡4,57,ムーア,2:25.5,2,52.2,9,472(0),[外] スタウト
7,8,4,8,アルティストロワイヤル,牡6,57,タラモ,2:25.6,3/4,37.2,7,472(0),[外] ドライス
8,9,6,12,フサイチパンドラ,牝4,55,藤田伸二,2:25.7,クビ,74.8,12,512(+4),[西] 白井寿昭
9,10,5,9,インティライミ,牡5,57,佐藤哲三,2:25.9,1.1/2,7.4,3,472(+4),[西] 佐々木晶
10,11,8,16,サデックス,牡4,57,ムンドリ,2:25.9,アタマ,73.2,11,524(0),[外] ラウ
11,12,1,1,エリモハリアー,セ7,57,武幸四郎,2:26.0,1/2,205.1,16,460(+4),[西] 田所秀孝
12,13,2,3,コスモバルク,牡6,57,松岡正海,2:26.1,3/4,110.1,13,510(+6),[地] 田部和則
13,14,7,14,ドリームパスポート,牡4,57,安藤勝己,2:26.2,1/2,16.0,6,470(-6),[西] 松田博資
14,15,7,15,ローゼンクロイツ,牡5,57,藤岡佑介,2:26.4,1,224.5,17,464(0),[西] 橋口弘次
15,16,7,13,ヒラボクロイヤル,牡3,55,後藤浩輝,2:27.2,5,258.7,18,476(-2),[西] 大久保龍
16,17,8,17,ハリカナサス,牡3,55,ホランド,2:27.7,3,165.9,15,472(0),[外] シャノン
17,18,3,6,ヴィクトリー,牡3,55,ルメール,2:28.9,7,48.4,8,488(+4),[西] 音無秀孝
