,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,6,12,バランスオブゲーム,牡3,56,田中勝春,2:12.9,,3.9,2,458(0),[東] 宗像義忠
1,2,5,9,アドマイヤマックス,牡3,56,後藤浩輝,2:13.1,1.1/2,3.1,1,458(+4),[西] 橋田満
2,3,8,16,マイネルアムンゼン,牡3,56,嘉藤貴行,2:13.2,1/2,58.0,11,470(+14),[東] 田中清隆
3,4,6,11,ヤマノブリザード,牡3,56,柴田善臣,2:13.3,クビ,7.3,3,500(+8),[東] 藤沢和雄
4,5,4,7,カンファーベスト,牡3,56,郷原洋司,2:13.6,2,20.3,8,468(+10),[東] 佐藤吉勝
5,6,2,4,ウインデュエル,牡3,56,岡部幸雄,2:13.6,クビ,12.0,6,488(-10),[東] 藤沢和雄
6,7,7,14,カッツミー,牡3,56,丸山侯彦,2:13.7,クビ,16.7,7,498(+14),[東] 南田美知
7,7,8,17,ハネダレンジャー,牡3,56,二本柳壮,2:13.7,同着,94.1,15,484(+6),[東] 秋山雅一
8,9,3,6,オペラボーイ,牡3,56,小林淳一,2:13.7,クビ,63.2,12,464(0),[東] 池上昌弘
9,10,1,2,オモシロイ,牡3,56,村田一誠,2:13.8,1/2,88.7,14,426(+4),[西] 音無秀孝
10,11,1,1,リキボクサー,牡3,56,小野次郎,2:14.0,1.1/4,23.1,10,488(0),[東] 小林常泰
11,12,4,8,バンブーユベントス,牡3,56,幸英明,2:14.1,1/2,10.3,5,452(+2),[西] 田島良保
12,13,2,3,アイアドベンチャー,牡3,56,梶晃啓,2:14.2,3/4,187.1,17,484(+6),[東] 黒坂洋基
13,14,5,10,アクトナチュラリー,牡3,56,蛯名正義,2:14.3,1/2,10.1,4,452(+6),[西] 橋口弘次
14,15,7,13,ダイワフロリダ,牡3,56,木幡初広,2:14.4,クビ,71.4,13,468(-4),[東] 増沢末夫
15,16,3,5,コスモレジスタ,牡3,56,江田照男,2:14.5,1/2,22.6,9,484(+4),[東] 勢司和浩
16,17,8,15,タイムレスワールド,牡3,56,大西直宏,2:15.0,3,126.2,16,444(+4),[東] 鈴木伸尋
