,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
10,2021/12/22,園田,曇,7,兵庫ゴールドトロフィ(G3),,11,5,5,1.9,1,1,岩田康誠,58.0,ダ1400,稍,**,1:27.0,-0.2,**,4-4-4-3,0.0-38.4,37.9,544(0),,,(ラプタス),3000.0
11,2021/11/13,5東京3,晴,11,東京中日S杯武蔵野S(G3),,16,2,4,17.9,9,9,岩田康誠,57.0,ダ1600,稍,**,1:35.9,0.9,**,5-5,34.4-36.5,37.2,544(+8),,,ソリストサンダー,
12,2021/09/23,浦和,晴,11,テレ玉杯オーバルスプ(G3),,12,8,12,4.2,2,1,岩田康誠,55.0,ダ1400,良,**,1:24.6,-0.4,**,2-2-1-1,34.9-37.4,37.2,536(-3),,,(ティーズダンク),2100.0
13,2021/05/03,名古屋,晴,11,かきつばた記念(G3),,12,8,11,1.7,1,2,福永祐一,57.5,ダ1400,良,**,1:25.8,0.6,**,2-2-2,0.0-38.0,38.5,539(-4),,,ラプタス,704.0
14,2021/03/16,高知,曇,3,黒船賞[指定交流](G3),,12,8,11,3.5,2,1,岩田康誠,56.0,ダ1400,重,**,1:27.6,-1.6,**,2-2-2-1,0.0-39.2,39.1,543(-3),,,(スリーグランド),2100.0
15,2021/01/31,1東京2,晴,11,根岸S(G3),,16,6,12,10.2,4,13,石橋脩,55.0,ダ1400,稍,**,1:23.4,1.1,**,4-4,34.4-36.0,36.8,546(+2),,,レッドルゼル,
16,2021/01/11,1中京4,晴,11,すばるS(L),,16,4,7,7.9,5,1,浜中俊,56.0,ダ1400,良,**,1:23.4,-0.3,**,4-4,34.5-36.9,36.5,544(-2),,,(アヴァンティスト),2340.6
17,2020/11/22,5東京6,晴,11,霜月S(OP),,16,2,3,44.1,13,3,丸山元気,55.0,ダ1400,良,**,1:23.2,0.4,**,1-1,34.6-36.3,36.7,546(+26),,,ヘリオス,555.2
18,2020/06/13,3阪神3,雨,11,天保山S(OP),,14,8,15,7.8,4,14,Ｍ．デム,53.0,ダ1400,不,**,1:24.7,2.4,**,5-7,33.9-36.6,38.5,520(+2),,,サヴィ,
19,2020/05/03,3京都4,曇,10,端午S(OP),,16,1,2,4.4,1,7,Ｍ．デム,58.0,ダ1400,良,**,1:24.9,0.4,**,2-2,34.6-37.9,38.3,518(-6),,,サトノラファール,
20,2020/03/08,1中京4,雨,10,昇竜S(OP),,10,7,7,3.6,1,1,Ｍ．デム,57.0,ダ1400,不,**,1:23.8,-0.1,**,2-2,34.6-37.3,37.2,524(+8),,,(アウトウッズ),1823.8
21,2019/12/18,川崎,晴,11,全日本2歳優駿【国際(G1),,13,6,8,3.0,2,5,Ｍ．デム,55.0,ダ1600,稍,**,1:42.5,0.6,**,3-3-3-3,35.6-40.7,40.6,516(+2),,,ヴァケーション,175.0
22,2019/11/27,園田,曇,10,兵庫ジュニアグランプ(G2),,12,6,7,3.7,3,1,Ｍ．デム,55.0,ダ1400,良,**,1:28.0,-0.2,**,2-2-2-1,0.0-38.2,38.0,514(0),,,(メイショウテンスイ),2500.0
23,2019/10/20,4京都7,晴,8,なでしこ賞(1勝クラス),,10,6,6,6.6,4,1,Ｍ．デム,55.0,ダ1400,重,**,1:23.6,-0.2,**,2-2,34.6-36.9,36.7,514(0),,,(アルコレーヌ),1022.4
24,2019/09/14,4阪神3,晴,2,2歳未勝利,,8,7,7,11.0,5,1,鮫島良太,54.0,ダ1200,稍,**,1:11.8,-1.3,**,3-2,35.1-36.7,36.4,514(+2),,,(サウンドサンビーム),500.0
25,2019/07/21,3中京8,曇,2,2歳未勝利,,13,7,10,6.9,3,7,和田竜二,54.0,ダ1200,稍,**,1:14.3,1.5,**,3-3,35.2-37.6,38.8,512(-4),,,デンコウリジエール,
26,2019/06/15,3阪神5,曇,5,2歳新馬,,12,8,12,12.1,5,4,和田竜二,54.0,ダ1200,重,**,1:14.3,1.3,**,3-2,36.3-36.7,37.7,516(0),,,ジェネティクス,110.0
