,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
0,2009/06/24,大井,曇,11,帝王賞競走(G1),,13,6.0,8,27.3,6.0,10,石崎隆之,57,ダ2000,不,**,2:08.5,4.9,**,1-1-3-3,36.5-36.1,41.0,536(-6),,,ヴァーミリアン,
1,2009/05/05,船橋,雨,10,かしわ記念(G1),,13,8.0,13,32.8,7.0,8,三浦皇成,57,ダ1600,重,**,1:38.4,2.5,**,1-1-1-2,34.7-36.3,38.8,542(0),,,エスポワールシチー,
2,2009/03/26,大井,晴,11,マイルグランプリ競走(G),,14,1.0,1,2.4,2.0,2,内田博幸,56,ダ1600,重,**,1:39.7,0.1,**,1-1-1-1,36.5-38.9,39.0,542(+5),,,ロイヤルボス,1050.0
3,2008/03/05,船橋,晴,10,ダイオライト記念(G2),,13,7.0,11,8.8,5.0,6,佐藤裕太,56,ダ2400,良,**,2:37.2,2.5,**,2-2-1-2,35.0-39.4,41.9,537(-7),,,フリオーソ,
4,2007/05/02,船橋,晴,10,かしわ記念(G1),,14,2.0,2,4.1,3.0,2,内田博幸,57,ダ1600,稍,,1:37.7,0.3,,1-1-1-1,36.2-36.6,36.9,544(+16),,,ブルーコンコルド,2100.0
5,2007/02/18,1東京8,晴,11,フェブラリーS(G1),,16,1.0,2,14.3,7.0,14,内田博幸,57,ダ1600,不,**,1:36.4,1.6,**,4-3,34.6-35.9,37.3,528(-9),,,サンライズバッカス,
6,2007/01/31,川崎,晴,10,川崎記念[指定交流](G1),,13,4.0,5,2.3,2.0,2,内田博幸,57,ダ2100,良,,2:14.2,1.3,,1-1-1-2,30.0-38.9,40.2,537(+5),,,ヴァーミリアン,2100.0
7,2006/12/29,大井,晴,10,東京大賞典競走(G1),,13,6.0,9,2.2,1.0,5,内田博幸,57,ダ2000,稍,,2:04.6,1.1,,3-3-5-3,34.8-37.7,38.6,532(+18),,,ブルーコンコルド,400.0
8,2006/06/28,大井,晴,11,帝王賞競走(G1),,13,2.0,2,2.2,2.0,1,内田博幸,57,ダ2000,良,,2:02.1,-0.2,,1-1-1-1,36.3-37.0,37.0,514(-16),,,(カネヒキリ),7000.0
9,2006/05/05,船橋,晴,10,かしわ記念(G1),,13,2.0,2,1.5,1.0,1,内田博幸,57,ダ1600,良,,1:38.6,-0.3,,1-1-1-1,36.5-38.0,38.0,530(+5),,,(ブルーコンコルド),6000.0
10,2006/04/12,大井,曇,10,マイルグランプリ競走(G),,15,5.0,8,1.4,1.0,1,内田博幸,57,ダ1600,不,,1:37.2,-1.0,,6-5-1-1,35.1-38.3,38.3,525(-7),,,(コアレスタイム),3500.0
11,2006/02/19,1東京8,曇,11,フェブラリーS(G1),,16,4.0,7,13.0,5.0,7,内田博幸,57,ダ1600,良,**,1:36.0,1.1,**,13-12,33.9-37.5,36.5,532(0),,,カネヒキリ,
12,2006/01/25,川崎,晴,10,川崎記念(G1),,10,2.0,2,,2.0,1,内田博幸,57,ダ2100,稍,,2:12.8,-0.1,,1-1-1-1,30.2-40.4,40.4,532(-2),,,(シーキングザダイヤ),6000.0
13,2005/12/29,大井,晴,10,東京大賞典(G1),,15,3.0,4,,4.0,1,内田博幸,57,ダ2000,良,,2:03.1,-0.3,,1-1-1-1,35.9-37.5,37.5,534(-4),,,(シーキングザダイヤ),8000.0
14,2005/11/26,5東京7,晴,11,ジャパンカップダート(G1),,16,7.0,14,11.2,4.0,10,内田博幸,57,ダ2100,良,,2:10.5,2.5,,1-2-2-2,29.8-36.8,39.0,538(+6),,,カネヒキリ,
15,2005/10/29,4東京7,曇,11,東京中日S杯武蔵野S(G3),,16,2.0,3,19.1,5.0,4,内田博幸,59,ダ1600,良,,1:35.9,0.7,,5-5,34.5-37.7,37.4,532(+7),,,サンライズバッカス,590.0
16,2005/09/23,船橋,曇,10,日本テレビ盃(G2),,12,3.0,3,,2.0,3,内田博幸,58,ダ1800,良,,1:53.1,1.3,,3-4-4-3,36.0-38.5,39.6,525(0),,,サカラート,800.0
17,2005/03/26,アラブ首,,7,ドバイワールドC(G1),,12,,1,,,6,内田博幸,57,ダ2000,良,,2:04.7,2.6,,,,,計不,,,ROSES IN MAY,
18,2004/12/29,大井,雪,9,東京大賞典(G1),,14,8.0,13,,3.0,1,内田博幸,55,ダ2000,重,,2:02.6,-0.6,,1-1-1-1,35.7-37.2,37.2,520(+2),,,(ユートピア),8000.0
19,2004/11/03,大井,晴,11,JBCクラシック(G1),,13,4.0,6,,6.0,2,内田博幸,55,ダ2000,稍,,2:02.6,0.2,,3-3-4-2,35.5-37.1,37.0,518(-7),,,アドマイヤドン,3500.0
